"教材ID","分野","分野ID","教材名","教材種別","学習順序","総Unit数","単位名称","目安時間(h/Unit)","前提教材ID","推奨ペース(週)","周回タイプ","推奨周回数","2周目時短係数","ミニ模試の点数","備考","imageUrl","driveUrl"
"GEN_CORE1","総合","general","数学Ⅰ・A　core250","Main","1","250","例題","0.33","","7","Must","2","0.66","90","","core_1.jpg","https://drive.google.com/drive/u/0/folders/1YsD4uYMGFvmlwFADo4tZ7Unt3tQbkbjr"
"GEN_CORE2","総合","general","数学Ⅱ・B　core250","Main","2","250","例題","0.33","GEN_CORE1","7","Must","2","0.66","80","","core_2.jpg","https://drive.google.com/drive/u/0/folders/12VGu5-0X8GzKotJ49z5IxbjMKGZJ6aKV"
"GEN_CORE3","総合","general","数学3・C　core250","Main","3","250","例題","0.33","GEN_CORE2","7","Must","2","0.66","80","","core_3.jpg","https://drive.google.com/drive/u/0/folders/1GAjVYPQB0v_ppDLcQLQHH2DIWYwBHaAN"
"GEN_ADV1","総合","general","数学Ⅰ・A　advanced200","Main","4","200","例題","0.5","GEN_CORE3","7","Must","2","0.66","90","","advanced_1.jpg","https://drive.google.com/drive/u/0/folders/1c3SS85ZrvaObAikwMRx9fv3AsaUK_KQw"
"GEN_ADV2","総合","general","数学Ⅱ・B　advanced200","Main","5","200","例題","0.5","GEN_ADV1","7","Must","2","0.66","80","","advanced_2.jpg","https://drive.google.com/drive/u/0/folders/15fA3MbPPnZuHn1NsQEH8uaVkH1MCjGlm"
"GEN_ADV3","総合","general","数学3・C　advanced200","Main","6","200","例題","0.5","GEN_ADV2","7","Must","2","0.66","80","","advanced_3.jpg","https://drive.google.com/drive/u/0/folders/1R_qqpzkexz_GIAHl4NSDFGrOWX3TEvnk"
"GEN_TOP1","総合","general","数学Ⅰ・A　top150","Main","7","150","例題","0.66","GEN_ADV3","7","Must","2","0.66","90","","top_1.jpg","https://drive.google.com/drive/u/0/folders/1eLr1meYuJB-6KxAj-mTKJb-kkKvDaU4q"
"GEN_TOP2","総合","general","数学Ⅱ・B　top150","Main","8","150","例題","0.66","GEN_TOP1","7","Must","2","0.66","80","","top_2.jpg","https://drive.google.com/drive/u/0/folders/1wB9cUUYmKgQzM5p6qNpXNe4pd9ZAhC6E"
"GEN_TOP3","総合","general","数学3・C　top150","Main","9","150","例題","0.66","GEN_TOP2","7","Must","2","0.66","80","","top_3.jpg","https://drive.google.com/drive/u/0/folders/1BFC0yjYANqg57JNtWOQ_prdrk-VPivu9"
